Funder stakeholder ID,Funder name,Funder WHO Region,Funder geographic region,Funder geographic sub-region,PHEIC name,Total disbursed (nominal USD),Percentage of disbursements for this PHEIC
1075,United Kingdom,euro,Europe,Northern Europe,2018-2020 Ebola in DRC,131082462.40329821,1.24
1472,World Health Organization (WHO),,,,2018-2020 Ebola in DRC,123407887,1.17
1428,United Nations (UN),,,,2018-2020 Ebola in DRC,112549829.91764864,1.06
1249,International Red Cross and Red Crescent Movement,,,,2018-2020 Ebola in DRC,47471851.953340895,0.45
1200,European Union,euro,,,2018-2020 Ebola in DRC,38226046.50567199,0.36
869,Germany,euro,Europe,Western Europe,2018-2020 Ebola in DRC,30216538.69165073,0.29
1129,Bill & Melinda Gates Foundation,,,,2018-2020 Ebola in DRC,14758119,0.14
908,Canada,amro,Americas,Northern America,2018-2020 Ebola in DRC,10078260.080868088,0.10
1767,UN Pooled Funds,,,,2018-2020 Ebola in DRC,9608480,0.09
1333,Oxfam International,,,,2018-2020 Ebola in DRC,9498017.420582762,0.09
1460,Wellcome Trust,,,,2018-2020 Ebola in DRC,8260200,0.08
1756,OCHA Country Based Pooled Funds,,,,2018-2020 Ebola in DRC,6833029.4399999995,0.06
1017,Norway,euro,Europe,Northern Europe,2018-2020 Ebola in DRC,5306291.048,0.05
927,Denmark,euro,Europe,Northern Europe,2018-2020 Ebola in DRC,4430858.788601872,0.04
1059,Sweden,euro,Europe,Northern Europe,2018-2020 Ebola in DRC,4200000,0.04
913,China,wpro,Asia,Eastern Asia,2018-2020 Ebola in DRC,4000000,0.04
969,Ireland,euro,Europe,Northern Europe,2018-2020 Ebola in DRC,3725771.8422838477,0.04
1102,African Development Bank,,,,2018-2020 Ebola in DRC,2709232.8823184827,0.03
1060,Switzerland,euro,Europe,Western Europe,2018-2020 Ebola in DRC,1361619.7832664978,0.01
973,Japan,wpro,Asia,Eastern Asia,2018-2020 Ebola in DRC,1300000,0.01
1030,Republic of Korea,wpro,Asia,Eastern Asia,2018-2020 Ebola in DRC,1000000,0.01
1970,Interpeace,,,,2018-2020 Ebola in DRC,889141.9400000001,0.01
1342,Paul Allen Foundation,,,,2018-2020 Ebola in DRC,721726,0.01
971,Italy,euro,Europe,Southern Europe,2018-2020 Ebola in DRC,695745.4424,0.01
989,Luxembourg,euro,Europe,Western Europe,2018-2020 Ebola in DRC,550000,0.01
1901,International Alert,,,,2018-2020 Ebola in DRC,513487.03050078935,0.00
1764,Christian Aid,,,,2018-2020 Ebola in DRC,405032.0868697001,0.00
1261,International Rescue Committee,,,,2018-2020 Ebola in DRC,234236.69884214678,0.00
1142,CARE International,,,,2018-2020 Ebola in DRC,200000,0.00
1475,World Vision International,,,,2018-2020 Ebola in DRC,89894,0.00
1771,The William and Flora Hewlett Foundation,,,,2018-2020 Ebola in DRC,40000,0.00
1146,Catholic Agency For Overseas Development (CAFOD),,,,2018-2020 Ebola in DRC,13599.825004761722,0.00
1757,GlobalGiving.org,,,,2018-2020 Ebola in DRC,237,0.00
1224,Global Alliance for Vaccines and Immunisation (GAVI),,,,2019-2022 COVID-19 Pandemic,7021186423.1900015,12.90
1120,Asian Development Bank,,,,2019-2022 COVID-19 Pandemic,5503329177.19,10.11
