"Core capacity","Core capacity code","Year","Amount disbursed for year for capacity (nominal USD)","Total disbursed post-2013 for capacity (nominal USD)","Percentage of total distributed to this capacity in year"
Biosafety and Biosecurity,P.6,2006.0,933333.3333333334,1190660000.8712325,0.08
Biosafety and Biosecurity,P.6,2007.0,1102293.8216796152,1190660000.8712325,0.09
Biosafety and Biosecurity,P.6,2008.0,1090566.1431900635,1190660000.8712325,0.09
Biosafety and Biosecurity,P.6,2009.0,1280085.504801183,1190660000.8712325,0.11
Biosafety and Biosecurity,P.6,2010.0,5846086.2314381,1190660000.8712325,0.49
Biosafety and Biosecurity,P.6,2011.0,2946254.2064843746,1190660000.8712325,0.25
Biosafety and Biosecurity,P.6,2012.0,13999039.174765369,1190660000.8712325,1.18
Biosafety and Biosecurity,P.6,2013.0,94927373.69720156,1190660000.8712325,7.97
Biosafety and Biosecurity,P.6,2014.0,77709405.43263178,1190660000.8712325,6.53
Biosafety and Biosecurity,P.6,2015.0,80458297.63372152,1190660000.8712325,6.76
Biosafety and Biosecurity,P.6,2016.0,164978971.65841547,1190660000.8712325,13.86
Biosafety and Biosecurity,P.6,2017.0,148541274.70291987,1190660000.8712325,12.48
Biosafety and Biosecurity,P.6,2018.0,167350757.5524293,1190660000.8712325,14.06
Biosafety and Biosecurity,P.6,2019.0,160156715.77244273,1190660000.8712325,13.45
Biosafety and Biosecurity,P.6,2020.0,130371592.97756799,1190660000.8712325,10.95
Biosafety and Biosecurity,P.6,2021.0,71580431.95547414,1190660000.8712325,6.01
Biosafety and Biosecurity,P.6,2022.0,64304559.22816863,1190660000.8712325,5.40
Biosafety and Biosecurity,P.6,2023.0,2777488.4883948,1190660000.8712325,0.23
Biosafety and Biosecurity,P.6,2024.0,265801.1625,1190660000.8712325,0.02
Chemical Events,CE,2011.0,692799.896156414,53357100.86215369,1.30
Chemical Events,CE,2013.0,203637.36385018483,53357100.86215369,0.38
Chemical Events,CE,2014.0,5673486.734140775,53357100.86215369,10.63
Chemical Events,CE,2015.0,3460482.0551555273,53357100.86215369,6.49
Chemical Events,CE,2016.0,8323289.896123252,53357100.86215369,15.60
Chemical Events,CE,2017.0,11593341.769557172,53357100.86215369,21.73
Chemical Events,CE,2018.0,13430719.79283728,53357100.86215369,25.17
Chemical Events,CE,2019.0,7482768.464096034,53357100.86215369,14.02
Chemical Events,CE,2020.0,1366292.9457622208,53357100.86215369,2.56
Chemical Events,CE,2021.0,1130281.94447482,53357100.86215369,2.12
Emergency Response Operations,R.2,1991.0,5614440.666666667,24988540313.78345,0.02
Emergency Response Operations,R.2,1993.0,20000000,24988540313.78345,0.08
Emergency Response Operations,R.2,1998.0,22646.75164525425,24988540313.78345,0.00
Emergency Response Operations,R.2,2001.0,145090.14934612706,24988540313.78345,0.00
Emergency Response Operations,R.2,2002.0,231457.66896409835,24988540313.78345,0.00
Emergency Response Operations,R.2,2003.0,7245007.817525538,24988540313.78345,0.03
Emergency Response Operations,R.2,2004.0,6604596.787399224,24988540313.78345,0.03
Emergency Response Operations,R.2,2005.0,23959154.168511562,24988540313.78345,0.10
Emergency Response Operations,R.2,2006.0,18486188.031588446,24988540313.78345,0.07
Emergency Response Operations,R.2,2007.0,69957003.06254165,24988540313.78345,0.28
Emergency Response Operations,R.2,2008.0,106192201.62251522,24988540313.78345,0.42
Emergency Response Operations,R.2,2009.0,184078878.77276492,24988540313.78345,0.74
Emergency Response Operations,R.2,2010.0,148476502.41262493,24988540313.78345,0.59
Emergency Response Operations,R.2,2011.0,219278653.40880758,24988540313.78345,0.88
Emergency Response Operations,R.2,2012.0,457404389.65963846,24988540313.78345,1.83
Emergency Response Operations,R.2,2013.0,808331355.0878078,24988540313.78345,3.23
Emergency Response Operations,R.2,2014.0,1091383600.8937974,24988540313.78345,4.37
Emergency Response Operations,R.2,2015.0,1034099776.6186262,24988540313.78345,4.14
Emergency Response Operations,R.2,2016.0,1253704988.8335457,24988540313.78345,5.02
Emergency Response Operations,R.2,2017.0,3226661560.377196,24988540313.78345,12.91
Emergency Response Operations,R.2,2018.0,3518560123.961373,24988540313.78345,14.08
Emergency Response Operations,R.2,2019.0,3363920435.562612,24988540313.78345,13.46
Emergency Response Operations,R.2,2020.0,4349224020.831212,24988540313.78345,17.40
Emergency Response Operations,R.2,2021.0,3921130372.7405577,24988540313.78345,15.69
Emergency Response Operations,R.2,2022.0,1153797415.6148498,24988540313.78345,4.62
Emergency Response Operations,R.2,2023.0,30452.281333333332,24988540313.78345,0.00
Food Safety,P.5,2004.0,207394.06306461067,3722200115.032584,0.01
Food Safety,P.5,2005.0,579798.0013114929,3722200115.032584,0.02
Food Safety,P.5,2006.0,527802.3028382104,3722200115.032584,0.01
Food Safety,P.5,2007.0,2983464.0563870356,3722200115.032584,0.08
Food Safety,P.5,2008.0,3425173.217811659,3722200115.032584,0.09
Food Safety,P.5,2009.0,6719551.859370643,3722200115.032584,0.18
Food Safety,P.5,2010.0,25188962.253823247,3722200115.032584,0.68
Food Safety,P.5,2011.0,67928224.20909034,3722200115.032584,1.82
Food Safety,P.5,2012.0,172405218.66225767,3722200115.032584,4.63
Food Safety,P.5,2013.0,362993443.956986,3722200115.032584,9.75
Food Safety,P.5,2014.0,232762011.49781805,3722200115.032584,6.25
Food Safety,P.5,2015.0,253584002.74165443,3722200115.032584,6.81
Food Safety,P.5,2016.0,556893805.837068,3722200115.032584,14.96
Food Safety,P.5,2017.0,589418496.2956917,3722200115.032584,15.84
Food Safety,P.5,2018.0,551719005.5173259,3722200115.032584,14.82
Food Safety,P.5,2019.0,357112980.5289217,3722200115.032584,9.59
Food Safety,P.5,2020.0,294636254.1026043,3722200115.032584,7.92
Food Safety,P.5,2021.0,176583318.36719573,3722200115.032584,4.74
Food Safety,P.5,2022.0,66531207.5613637,3722200115.032584,1.79
General IHR Implementation,General IHR,2002.0,142417386.66666666,3403568717.8498616,4.18
General IHR Implementation,General IHR,2003.0,171380248.8888889,3403568717.8498616,5.04
General IHR Implementation,General IHR,2004.0,188003831.1111111,3403568717.8498616,5.52
General IHR Implementation,General IHR,2005.0,188341262.2222222,3403568717.8498616,5.53
General IHR Implementation,General IHR,2006.0,189843306.66666666,3403568717.8498616,5.58
General IHR Implementation,General IHR,2007.0,207084480,3403568717.8498616,6.08
General IHR Implementation,General IHR,2008.0,222339751.1111111,3403568717.8498616,6.53
General IHR Implementation,General IHR,2009.0,210721422.2222222,3403568717.8498616,6.19
General IHR Implementation,General IHR,2010.0,200242647.00444445,3403568717.8498616,5.88
General IHR Implementation,General IHR,2011.0,210238620.86222222,3403568717.8498616,6.18
General IHR Implementation,General IHR,2012.0,194215241.8488889,3403568717.8498616,5.71
General IHR Implementation,General IHR,2013.0,202971627.71818954,3403568717.8498616,5.96
General IHR Implementation,General IHR,2014.0,202869271.85372385,3403568717.8498616,5.96
General IHR Implementation,General IHR,2015.0,169685993.01915666,3403568717.8498616,4.99
General IHR Implementation,General IHR,2016.0,170347579.41632837,3403568717.8498616,5.00
General IHR Implementation,General IHR,2017.0,173564967.90754178,3403568717.8498616,5.10
General IHR Implementation,General IHR,2018.0,184833798.27770332,3403568717.8498616,5.43
General IHR Implementation,General IHR,2019.0,174456281.0527739,3403568717.8498616,5.13
General IHR Implementation,General IHR,2020.0,11000.0,3403568717.8498616,0.00
"IHR Coordination, Communicaton and Advocacy",P.2,2006.0,933333.3333333334,30254982.532087047,3.08
"IHR Coordination, Communicaton and Advocacy",P.2,2007.0,933333.3333333334,30254982.532087047,3.08
"IHR Coordination, Communicaton and Advocacy",P.2,2008.0,933333.3333333334,30254982.532087047,3.08
"IHR Coordination, Communicaton and Advocacy",P.2,2009.0,933333.3333333334,30254982.532087047,3.08
"IHR Coordination, Communicaton and Advocacy",P.2,2010.0,933333.3333333334,30254982.532087047,3.08
"IHR Coordination, Communicaton and Advocacy",P.2,2011.0,933333.3333333334,30254982.532087047,3.08
"IHR Coordination, Communicaton and Advocacy",P.2,2012.0,933333.3333333334,30254982.532087047,3.08
"IHR Coordination, Communicaton and Advocacy",P.2,2013.0,933333.3333333334,30254982.532087047,3.08
"IHR Coordination, Communicaton and Advocacy",P.2,2014.0,1028443.3333333334,30254982.532087047,3.40
"IHR Coordination, Communicaton and Advocacy",P.2,2015.0,1752944.2779434584,30254982.532087047,5.79
"IHR Coordination, Communicaton and Advocacy",P.2,2016.0,1750386.7347587459,30254982.532087047,5.79
"IHR Coordination, Communicaton and Advocacy",P.2,2017.0,5072462.046456778,30254982.532087047,16.77
"IHR Coordination, Communicaton and Advocacy",P.2,2018.0,5366372.548439677,30254982.532087047,17.74
