Funder stakeholder ID,Funder name,Funder WHO Region,Funder geographic region,Funder geographic sub-region,PHEIC name,Total disbursed (nominal USD),Percentage of disbursements for this PHEIC
1270,AICS - Agenzia Italiana per la Cooperazione allo Sviluppo / Italian Agency for Cooperation and Development,,,,2014-2016 Ebola in West Africa,141584.11973121134,0.00
937,Estonia,euro,Europe,Northern Europe,2014-2016 Ebola in West Africa,129847.00000000001,0.00
1373,Sanofi Foundation,,,,2014-2016 Ebola in West Africa,128000,0.00
1325,OAS African Investments Limited,,,,2014-2016 Ebola in West Africa,107000,0.00
993,Malaysia,wpro,Asia,South-eastern Asia,2014-2016 Ebola in West Africa,100000,0.00
1452,Vale International Holdings Gmbh,,,,2014-2016 Ebola in West Africa,100000,0.00
914,Colombia,amro,Americas,Latin America and the Caribbean,2014-2016 Ebola in West Africa,100000,0.00
901,Brunei Darussalam,wpro,Asia,South-eastern Asia,2014-2016 Ebola in West Africa,100000,0.00
956,Guinea,afro,Africa,Sub-Saharan Africa,2014-2016 Ebola in West Africa,100000,0.00
1381,Shinnyo-en,,,,2014-2016 Ebola in West Africa,100000,0.00
1001,Monaco,euro,Europe,Western Europe,2014-2016 Ebola in West Africa,63532,0.00
963,Hungary,euro,Europe,Eastern Europe,2014-2016 Ebola in West Africa,62578,0.00
996,Malta,euro,Europe,Southern Europe,2014-2016 Ebola in West Africa,62295,0.00
958,Guyana,amro,Americas,Latin America and the Caribbean,2014-2016 Ebola in West Africa,50363,0.00
1192,Eli Lilly and Company,,,,2014-2016 Ebola in West Africa,50000,0.00
976,Kazakhstan,euro,Asia,Central Asia,2014-2016 Ebola in West Africa,50000,0.00
1438,United Nations Office for the Coordination of Humanitarian Affairs (OCHA),,,,2014-2016 Ebola in West Africa,49269,0.00
982,Latvia,euro,Europe,Northern Europe,2014-2016 Ebola in West Africa,48876,0.00
1025,Peru,amro,Americas,Latin America and the Caribbean,2014-2016 Ebola in West Africa,48479,0.00
919,Croatia,euro,Europe,Southern Europe,2014-2016 Ebola in West Africa,48000,0.00
1032,Romania,euro,Europe,Eastern Europe,2014-2016 Ebola in West Africa,40000,0.00
1343,People's Liberation Army of China,,,,2014-2016 Ebola in West Africa,40000,0.00
1050,Slovenia,euro,Europe,Southern Europe,2014-2016 Ebola in West Africa,38119,0.00
1049,Slovakia,euro,Europe,Eastern Europe,2014-2016 Ebola in West Africa,37445.56291120911,0.00
1388,Societe Anglogold Ashanti De Guinee (sag),,,,2014-2016 Ebola in West Africa,25000,0.00
1344,Pfizer,,,,2014-2016 Ebola in West Africa,25000,0.00
1177,Dadco Alumina And Chemicals Ltd.,,,,2014-2016 Ebola in West Africa,25000,0.00
950,Georgia,euro,Asia,Western Asia,2014-2016 Ebola in West Africa,25000,0.00
1389,Societe Des Mines De Fer De Guinee (smfg),,,,2014-2016 Ebola in West Africa,25000,0.00
876,Andorra,euro,Europe,Southern Europe,2014-2016 Ebola in West Africa,20053,0.00
999,Mauritius,afro,Africa,Sub-Saharan Africa,2014-2016 Ebola in West Africa,20000,0.00
1956,United Nations African Mothers Association,,,,2014-2016 Ebola in West Africa,20000,0.00
961,Holy See,,Europe,Southern Europe,2014-2016 Ebola in West Africa,20000,0.00
1698,Ministry of Foreign and European Affairs of the Slovak Republic,,,,2014-2016 Ebola in West Africa,18495.562911209116,0.00
1241,Indigo Trust,,,,2014-2016 Ebola in West Africa,15377.245666917672,0.00
1322,Not reported,,,,2014-2016 Ebola in West Africa,10350,0.00
922,Cyprus,euro,Asia,Western Asia,2014-2016 Ebola in West Africa,6350,0.00
1003,Montenegro,searo,Europe,Southern Europe,2014-2016 Ebola in West Africa,5000,0.00
1065,Togo,afro,Africa,Sub-Saharan Africa,2014-2016 Ebola in West Africa,1581,0.00
10005,CISU,,,,2014-2016 Ebola in West Africa,1174.6248077825815,0.00
1348,Plan International UK,,,,2014-2016 Ebola in West Africa,1.2478146772554735,0.00
1129,Bill & Melinda Gates Foundation,,,,2014-2022 Poliovirus,1755311634.160001,13.56
1428,United Nations (UN),,,,2014-2022 Poliovirus,1220388901.2017982,9.43
1430,United Nations Children's Fund (UNICEF),,,,2014-2022 Poliovirus,1216935310.2017982,9.40
1224,Global Alliance for Vaccines and Immunisation (GAVI),,,,2014-2022 Poliovirus,1112886420.26,8.60
1467,World Bank,,,,2014-2022 Poliovirus,590377230.39,4.56
1472,World Health Organization (WHO),,,,2014-2022 Poliovirus,570140832.53,4.41
1075,United Kingdom,euro,Europe,Northern Europe,2014-2022 Poliovirus,516149611.49004877,3.99
1525,International Development Association,,,,2014-2022 Poliovirus,461561232,3.57
1078,United States of America,amro,Americas,Northern America,2014-2022 Poliovirus,407983806.79999983,3.15
1443,United States Agency for International Development (USAID),,,,2014-2022 Poliovirus,383206870.3099999,2.96
869,Germany,euro,Europe,Western Europe,2014-2022 Poliovirus,192062020.8868665,1.48
1691,World Bank Trust Funds,,,,2014-2022 Poliovirus,128815998.39,1.00
908,Canada,amro,Americas,Northern America,2014-2022 Poliovirus,100065305.85215665,0.77
883,Australia,wpro,Oceania,Australia and New Zealand,2014-2022 Poliovirus,87960576.00401539,0.68
1200,European Union,euro,,,2014-2022 Poliovirus,19856217.689067535,0.15
1896,European Commission - International Partnerships,,,,2014-2022 Poliovirus,17349563.794145316,0.13
973,Japan,wpro,Asia,Eastern Asia,2014-2022 Poliovirus,4706737.617795646,0.04
1010,New Zealand,wpro,Oceania,Australia and New Zealand,2014-2022 Poliovirus,3481285.0474614697,0.03
1759,United Nations Central Emergency Response Fund (CERF),,,,2014-2022 Poliovirus,2000000,0.02
9995,United Nations Human Settlement Programme,,,,2014-2022 Poliovirus,1453591.0000000002,0.01
971,Italy,euro,Europe,Southern Europe,2014-2022 Poliovirus,1138434.2688030018,0.01
1270,AICS - Agenzia Italiana per la Cooperazione allo Sviluppo / Italian Agency for Cooperation and Development,,,,2014-2022 Poliovirus,1138434.2688030018,0.01
1696,Germany - Federal Foreign Office,,,,2014-2022 Poliovirus,569217.1344015009,0.00
1055,Spain,euro,Europe,Southern Europe,2014-2022 Poliovirus,367561.3618459293,0.00
1554,Spanish Agency for International Development Cooperation (AECID),,,,2014-2022 Poliovirus,342900.6112976505,0.00
1475,World Vision International,,,,2014-2022 Poliovirus,237432.4,0.00
1604,World Vision UK,,,,2014-2022 Poliovirus,237432.4,0.00
1756,OCHA Country Based Pooled Funds,,,,2014-2022 Poliovirus,137898.86,0.00
1383,Sightsavers,,,,2014-2022 Poliovirus,52737.04585612643,0.00
1286,Malaria Consortium,,,,2014-2022 Poliovirus,40975.03294031047,0.00
1757,GlobalGiving.org,,,,2014-2022 Poliovirus,36925,0.00
969,Ireland,euro,Europe,Northern Europe,2014-2022 Poliovirus,4760.967509724886,0.00
1255,International Federation of Red Cross and Red Crescent Societies,,,,2014-2022 Poliovirus,1322.7195077336291,0.00
1249,International Red Cross and Red Crescent Movement,,,,2014-2022 Poliovirus,1322.7195077336291,0.00
944,Finland,euro,Europe,Northern Europe,2014-2022 Poliovirus,1054.1438169288028,0.00
1078,United States of America,amro,Americas,Northern America,2015-2016 Zika Virus,11454252.3092295,0.09
1443,United States Agency for International Development (USAID),,,,2015-2016 Zika Virus,10293452.3092295,0.08
1129,Bill & Melinda Gates Foundation,,,,2015-2016 Zika Virus,9797890,0.08
883,Australia,wpro,Oceania,Australia and New Zealand,2015-2016 Zika Virus,8081083.609815737,0.06
1075,United Kingdom,euro,Europe,Northern Europe,2015-2016 Zika Virus,7613417.789454008,0.06
1472,World Health Organization (WHO),,,,2015-2016 Zika Virus,5615000,0.04
1249,International Red Cross and Red Crescent Movement,,,,2015-2016 Zika Virus,5098310.623321948,0.04
1255,International Federation of Red Cross and Red Crescent Societies,,,,2015-2016 Zika Virus,2932356.0410182467,0.02
1345,Pfizer Foundation,,,,2015-2016 Zika Virus,2100000,0.02
1344,Pfizer,,,,2015-2016 Zika Virus,2100000,0.02
1342,Paul Allen Foundation,,,,2015-2016 Zika Virus,2050000,0.02
1873,American Red Cross,,,,2015-2016 Zika Virus,1379537.374677,0.01
1419,U.S. Centers for Disease Control and Prevention (CDC),,,,2015-2016 Zika Virus,1160000,0.01
908,Canada,amro,Americas,Northern America,2015-2016 Zika Virus,1042587.0005505,0.01
1179,Department for International Development UK (DFID),,,,2015-2016 Zika Virus,1000000,0.01
1884,Public Health Agency of Canada,,,,2015-2016 Zika Virus,700675,0.01
1758,Netherlands Red Cross,,,,2015-2016 Zika Virus,540069.7242777006,0.00
1882,Norway Ministry of Foreign Affairs,,,,2015-2016 Zika Virus,517000,0.00
1017,Norway,euro,Europe,Northern Europe,2015-2016 Zika Virus,517000,0.00
1010,New Zealand,wpro,Oceania,Australia and New Zealand,2015-2016 Zika Virus,289490.3119669371,0.00
1244,Inter-American Development Bank,,,,2015-2016 Zika Virus,211500,0.00
973,Japan,wpro,Asia,Eastern Asia,2015-2016 Zika Virus,200518.03902899998,0.00
1877,Global Affairs Canada,,,,2015-2016 Zika Virus,186422,0.00
1554,Spanish Agency for International Development Cooperation (AECID),,,,2015-2016 Zika Virus,109940,0.00
1055,Spain,euro,Europe,Southern Europe,2015-2016 Zika Virus,109940,0.00
1874,Canadian Red Cross,,,,2015-2016 Zika Virus,73833.95693849999,0.00
1887,Swedish Red Cross,,,,2015-2016 Zika Virus,60608.221245,0.00
1428,United Nations (UN),,,,2015-2016 Zika Virus,58416.92,0.00
1876,Finnish Red Cross,,,,2015-2016 Zika Virus,50646.005157,0.00
1881,Japanese Red Cross,,,,2015-2016 Zika Virus,44519.161005,0.00
1431,United Nations Development Programme (UNDP),,,,2015-2016 Zika Virus,35598,0.00
1886,S. C. Johnson & Son Inc.,,,,2015-2016 Zika Virus,28951.1669205,0.00
1432,United Nations Food and Agriculture Organization (FAO),,,,2015-2016 Zika Virus,22818.92,0.00
1885,Red Cross of Monaco,,,,2015-2016 Zika Virus,16740.1390035,0.00
1763,Practical Action,,,,2015-2016 Zika Virus,12044.119393364961,0.00
1078,United States of America,amro,Americas,Northern America,2018-2020 Ebola in DRC,211814085.73,1.45
1443,United States Agency for International Development (USAID),,,,2018-2020 Ebola in DRC,211314085.73,1.45
1467,World Bank,,,,2018-2020 Ebola in DRC,190360204,1.30
1224,Global Alliance for Vaccines and Immunisation (GAVI),,,,2018-2020 Ebola in DRC,136851109,0.94
1075,United Kingdom,euro,Europe,Northern Europe,2018-2020 Ebola in DRC,131082462.4032982,0.90
1472,World Health Organization (WHO),,,,2018-2020 Ebola in DRC,123407887,0.85
1428,United Nations (UN),,,,2018-2020 Ebola in DRC,112549829.91764864,0.77
1430,United Nations Children's Fund (UNICEF),,,,2018-2020 Ebola in DRC,75135296.91764866,0.51
1179,Department for International Development UK (DFID),,,,2018-2020 Ebola in DRC,50302798.825,0.34
1249,International Red Cross and Red Crescent Movement,,,,2018-2020 Ebola in DRC,47471851.953340895,0.33
1255,International Federation of Red Cross and Red Crescent Societies,,,,2018-2020 Ebola in DRC,45398989.81923686,0.31
1200,European Union,euro,,,2018-2020 Ebola in DRC,38226046.505672,0.26
869,Germany,euro,Europe,Western Europe,2018-2020 Ebola in DRC,30216538.691650733,0.21
1759,United Nations Central Emergency Response Fund (CERF),,,,2018-2020 Ebola in DRC,29675327,0.20
