Funder stakeholder ID,Funder name,Funder WHO Region,Funder geographic region,Funder geographic sub-region,PHEIC name,Total disbursed (nominal USD)
950,Georgia,euro,Asia,Western Asia,2014-2016 Ebola in West Africa,25000
1389,Societe Des Mines De Fer De Guinee (smfg),,,,2014-2016 Ebola in West Africa,25000
876,Andorra,euro,Europe,Southern Europe,2014-2016 Ebola in West Africa,20053
999,Mauritius,afro,Africa,Sub-Saharan Africa,2014-2016 Ebola in West Africa,20000
1956,United Nations African Mothers Association,,,,2014-2016 Ebola in West Africa,20000
961,Holy See,,Europe,Southern Europe,2014-2016 Ebola in West Africa,20000
1698,Ministry of Foreign and European Affairs of the Slovak Republic,,,,2014-2016 Ebola in West Africa,18495.562911209116
1241,Indigo Trust,,,,2014-2016 Ebola in West Africa,15377.245666917672
1322,Not reported,,,,2014-2016 Ebola in West Africa,10350
922,Cyprus,euro,Asia,Western Asia,2014-2016 Ebola in West Africa,6350
1003,Montenegro,searo,Europe,Southern Europe,2014-2016 Ebola in West Africa,5000
1065,Togo,afro,Africa,Sub-Saharan Africa,2014-2016 Ebola in West Africa,1581
10005,CISU,,,,2014-2016 Ebola in West Africa,1174.6248077825815
1348,Plan International UK,,,,2014-2016 Ebola in West Africa,1.2478146772554735
1129,Bill & Melinda Gates Foundation,,,,2014-2022 Poliovirus,1755311634.160001
1428,United Nations (UN),,,,2014-2022 Poliovirus,1220388901.2017982
1430,United Nations Children's Fund (UNICEF),,,,2014-2022 Poliovirus,1216935310.2017982
1224,Global Alliance for Vaccines and Immunisation (GAVI),,,,2014-2022 Poliovirus,1112886420.26
1467,World Bank,,,,2014-2022 Poliovirus,590377230.39
1472,World Health Organization (WHO),,,,2014-2022 Poliovirus,570140832.5300002
1075,United Kingdom,euro,Europe,Northern Europe,2014-2022 Poliovirus,516149611.49004877
1525,International Development Association,,,,2014-2022 Poliovirus,461561232
1078,United States of America,amro,Americas,Northern America,2014-2022 Poliovirus,407983806.7999999
1443,United States Agency for International Development (USAID),,,,2014-2022 Poliovirus,383206870.30999994
869,Germany,euro,Europe,Western Europe,2014-2022 Poliovirus,192062020.8868665
