Recipient ID,Recipient name,"Total disbursed for capacity (USD, nominal)","Category (country, international, or philanthropy)","Total committed for capacity (USD, nominal)"
942,Federated States of Micronesia,3403741.396062956,Country,913148.9980169155
1018,Oman,2761609.2661783337,Country,486809.35742063617
945,France,2686527.397062152,Country,748097.7204303637
1937,Europe and Central Asia,2571377,Country,2571377
879,Antigua and Barbuda,2443317.104147601,Country,2228931.1104846257
1474,World Organisation for Animal Health (OIE),2432738.7512600003,International,0
1059,Sweden,2354514.335809659,Country,2156532.3071654662
1010,New Zealand,2329580.091897968,Country,1229546.4625411364
1035,Saint Kitts and Nevis,1980635.78740461,Country,1253218.7053363598
971,Italy,1963149.0747764837,Country,532724.6159235231
1020,Palau,1787355.5126585232,Country,366157.7174404843
1055,Spain,1704270.850431665,Country,1087207.07327786
997,Marshall Islands,1609379.057219782,Country,5624523.082686667
883,Australia,1548454.4482409616,Country,759099.3115781915
952,Greece,1527174.6830462255,Country,1529801.5
1049,Slovakia,1333551.77954642,Country,443259.2918431476
1050,Slovenia,1226497.5727473337,Country,450011.96183521237
929,Dominica,1108559.33113548,Country,242885.5423028501
882,Aruba,1039545.4574809106,Country,704999.7088429836
973,Japan,989616.4752823854,Country,430116.05735209445
1854,Eastern Europe and Central Asia,948102,Country,0
884,Austria,911016.1541779403,Country,716059.538850919
1134,Bouvet Island,894124.0909956344,Other,698582.4942574466
982,Latvia,830786.8968684302,Country,25227.27272727272
1048,Sint Maarten,736822.130753675,Country,503951.0888783883
923,Czech Republic,734641.0548421051,Country,0
1040,San Marino,731371.699589618,Country,499775.1608614742
969,Ireland,721714.6628068942,Country,415249.985923523
1027,Poland,689131.3584303124,Country,66888728.73188558
1047,Singapore,686691.5285786645,Country,443120.51446679124
1253,International Federation of Biosafety Associations (IFBA),677496.5748,International,0
1157,Chatham House,662971.35942,International,0
1062,Taiwan,660689.3936278634,Country,431595.49356827594
1391,South Georgia and the South Sandwich Islands,657977.0638641143,Other,428032.0618372912
1402,Svalbard and Jan Mayen Islands,657611.1824438956,Other,427789.25214763975
974,Jersey,644232.3269090772,Country,415249.985923523
1084,Wallis and Futuna,605757.6164746948,Country,14751.162534952207
963,Hungary,517412.42926125316,Country,14866.071428571431
1103,African Population and Health Research Center,454676.51399999997,International,654908.796
1279,Latin America,415871,Country,0
1339,Parliamentarians for Global Action,376386.986,International,0
937,Estonia,371489.25339823763,Country,985054.6188811188
1857,Western Pacific,368781,Country,0
1145,CARICOM,363970,Country,333925.34325333335
1074,United Arab Emirates,343949.578020438,Country,3806.2414206361736
1212,French Guiana,342335.83813326014,Country,300492.6552379991
988,Lithuania,340899.1086124984,Country,91247.19030969033
1248,International Centre of Insect Physiology and Ecology,339571.703,Other,218302.932
869,Germany,330446.5951621542,Country,115152.57142857142
1247,International Centre for Diarrhoeal Disease Research,282976.41916666663,Other,272878.665
1855,Middle East and North Africa,242792,Country,0
979,Kuwait,207227.03478359597,Country,3806.2414206361736
927,Denmark,184259.97000000003,Country,242764.16
1029,Qatar,146255.96185061877,Country,33094.58423658922
1392,Southeast Asia,144874,Country,0
887,Bahrain,141615.50278359596,Country,3806.2414206361736
1037,Saint Martin,92737.20251592349,Country,90587.25981876533
1935,South and Central Asia,84141.92503672608,Country,0
1017,Norway,63840.13535129025,Country,32678.571428571417
1856,Latin America and the Caribbean,54013,Country,0
1028,Portugal,36779.6658608772,Country,32678.571428571413
875,American Samoa,35766.06,Country,0
946,French Polynesia,33843.32473096438,Country,3806.2414206361736
1030,Republic of Korea,24072.99096590175,Country,18672.312849207607
901,Brunei Darussalam,19282.372783595958,Country,3806.2414206361736
1299,Middle Africa,16610.566818623,Country,16721.5114105
1162,"China, Hong Kong Special Administrative Region",15413.607783595951,Other,14727.294052215115
900,British Virgin Islands,8560.056198759967,Country,8849.412813220097
990,Macao S.A.R,3328.107783595958,Country,3806.2414206361736
909,Cayman Islands,3328.107783595958,Country,3806.2414206361736
940,Falkland Islands (Malvinas),3328.107783595958,Country,3806.2414206361736
922,Cyprus,3328.107783595958,Country,3806.2414206361736
996,Malta,3328.107783595958,Country,3806.2414206361736
1206,Flinders University,0,Other,639857.8761999999
1140,BTWC Implementation Support Unit (ISU),0,International,639857.8761999999
1119,Asia-Pacific,0,Country,4056006.07
